RWCID;CollID;PieceNo;CDNo;TrackNo;Title;Artist;SingerInformation;SingingLanguage;Tempo;Variation;LiveInstruments;DrumInformation;Composer;CompositionType;GenreMain;GenreSub;audio_start;audio_end;duration
RWC_P013;P;13;1;13;Catch ball;Konbu;Female;Japanese;103.0;;Gt;Drum sequences;;;Popular;J-pop;0.0161;215.5;217.06024943310655
RWC_P014;P;14;1;14;Karehairo no Twilight;Rin;Female;Japanese;88.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0174;229.2122;232.91927437641723
RWC_P015;P;15;1;15;old fashioned;Katsuyuki Ozawa;Male;Japanese;132.0;;Gt;Drum sequences;;;Popular;J-pop;0.0164;156.5852;160.86596371882086
RWC_P016;P;16;1;16;Game of Love;Hiromi Yoshii;Female;Japanese;122.0;;Gt, Bs;Drum loops;;;Popular;J-pop;0.0165;257.5714;262.1090022675737
RWC_P017;P;17;2;1;Anata to aete;Hiromi Yoshii;Female;Japanese;97.0;;Gt;Drum sequences;;;Popular;J-pop;0.0283;237.1265;239.40975056689345
RWC_P018;P;18;2;2;True Heart;Tomomi Ogata;Female;Japanese;112.0;;Gt;Drum sequences;;;Popular;J-pop;0.011;250.2298;252.0724716553288
RWC_P019;P;19;2;3;COOL Motion;Hisayoshi Kazato;Male;Japanese;130.0;;Gt;Drum sequences;;;Popular;J-pop;0.0276;283.8531;287.0084580498866
RWC_P020;P;20;2;4;Tokimeki no syunkan;Eri Ichikawa;Female;Japanese;134.0;;;Drum sequences;;;Popular;J-pop;0.0793;244.0882;248.11875283446713
RWC_P021;P;21;2;5;Feeling In My Heart;Rin;Female;Japanese;98.0;;Gt;Drum sequences;;;Popular;J-pop;0.02;264.9223;266.92204081632656
RWC_P022;P;22;2;6;Koi ni ochiru jikan ni kansuru kousatsu;Kazuo Nishi;Male;Japanese;135.0;;Gt;Drum sequences;;;Popular;J-pop;0.02;205.0571;207.48945578231292
RWC_P023;P;23;2;7;SHAKE;MAPS;Vocal group (2 male);Japanese;132.0;;Gt;Drum sequences;;;Popular;J-pop;0.0493;195.0655;199.14950113378688
RWC_P024;P;24;2;8;it's all right;Hisayoshi Kazato;Male;Japanese;130.0;;;Drum sequences;;;Popular;J-pop;0.021;237.1143;238.2215419501134
RWC_P025;P;25;2;9;tell me;Tomomi Ogata;Female;Japanese;103.0;;Gt;Drum sequences;;;Popular;J-pop;0.0171;251.8415;254.43160997732423
RWC_P026;P;26;2;10;aozora sanpo michi;Tomoko Nitta;Female;Japanese;158.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.2035;202.2857;205.0189342403628
RWC_P027;P;27;2;11;stay;Shingo Katsuta;Male;Japanese;124.0;;Gt;Drum sequences;;;Popular;J-pop;0.0508;314.4612;316.4108163265306
RWC_P028;P;28;2;12;Fly away;Tomomi Ogata;Female;Japanese;109.0;;Gt;Drum sequences;;;Popular;J-pop;0.0305;246.6612;248.9515192743764
RWC_P029;P;29;2;13;One Two STEP;Kazuo Nishi;Male;Japanese;103.0;;Gt;Drum sequences;;;Popular;J-pop;0.0435;210.1116;213.06174603174605
RWC_P030;P;30;2;14;syounen no omoi;Mitsuru Tanimoto;Male;Japanese;104.0;;;Drum sequences;;;Popular;J-pop;0.016;192.1916;194.06256235827664
RWC_P031;P;31;2;15;Moving Round and Round;Yuuichi Nagayama;Male;Japanese;129.0;;;Drum loops;;;Popular;J-pop;0.0175;245.6467;248.181179138322
RWC_P032;P;32;2;16;what could I do for you;Masaki Kuehara;Male;Japanese;125.0;;Gt;Drum sequences;;;Popular;J-pop;0.0152;250.8742;252.04453514739228
RWC_P033;P;33;3;1;DREAM MAGIC;Hiromi Yoshii;Female;Japanese;108.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0697;282.047;284.97507936507935
RWC_P034;P;34;3;2;Hitoyo no yume;Hiromi Yoshii;Female;Japanese;93.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0469;203.5055;205.60031746031743
RWC_P035;P;35;3;3;Midarana kami no moushigo;Hiromi Yoshii;Female;Japanese;170.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0571;187.2333;190.98795918367347
RWC_P036;P;36;3;4;over and over;Kazuo Nishi;Male;Japanese;135.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0778;307.249;314.2210657596372
RWC_P037;P;37;3;5;Replica;Yoshinori Hatae;Male;Japanese;184.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.02;233.7611;237.06746031746033
RWC_P038;P;38;3;6;1999;Kousuke Morimoto;Male;Japanese;125.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0165;270.8985;273.3017006802721
RWC_P039;P;39;3;7;SPUL;Kousuke Morimoto;Male;Japanese;73.0;;Gt, Bs, HH;Drum sequences;;;Popular;J-pop;0.0298;285.1633;286.81532879818593
RWC_P040;P;40;3;8;promise;Kazuo Nishi;Male;Japanese;122.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0175;219.99;224.21625850340135
RWC_P041;P;41;3;9;Non Stop Driving;Katsuyuki Ozawa;Male;Japanese;200.0;;Gt;Drum sequences;;;Popular;J-pop;0.0559;166.3061;168.1025170068027
RWC_P042;P;42;3;10;Fly to the moon;Kousuke Morimoto;Male;Japanese;125.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0385;242.4853;246.72537414965987
RWC_P043;P;43;3;11;Centimeter no kodoku;Kazuo Nishi;Male;Japanese;163.0;;Gt;Drum sequences;;;Popular;J-pop;0.0164;199.6816;202.27662131519276
RWC_P044;P;44;3;12;REAL na 5 hun;Kousuke Morimoto;Male;Japanese;124.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.0212;240.6316;244.0502267573696
RWC_P045;P;45;3;13;Hajimari;Kousuke Morimoto;Male;Japanese;77.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0122;216.5061;220.49709750566893
RWC_P046;P;46;3;14;Senro wa tsuzukuyo;Kousuke Morimoto;Male;Japanese;168.0;;Gt;Drum sequences;;;Popular;J-pop;0.1937;194.5832;196.98154195011335
RWC_P047;P;47;3;15;Deaetakara;Satoshi Kumasaka;Male;Japanese;94.0;;Gt, Gt, Bs, Dr, Org;Live drums;;;Popular;J-pop;0.0176;205.0531;208.70895691609977
RWC_P048;P;48;3;16;Syodoubutsu;Hiroshi Sekiya;Male;Japanese;86.0;;Gt;Drum sequences;;;Popular;J-pop;0.0181;266.8655;269.5519047619048
RWC_P049;P;49;4;1;Sekai no mikata;Hiroshi Sekiya;Male;Japanese;100.0;;Gt;Drum sequences;;;Popular;J-pop;0.0172;269.7382;273.0244671201814
RWC_P050;P;50;4;2;Mrs. Maril;Rin;Female;Japanese;114.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.016;189.5634;193.37192743764172
RWC_P051;P;51;4;3;Modoranai natsu;Hiroshi Sekiya;Male;Japanese;104.0;;Gt, Gt, Bs, Dr, Pf;Live drums;;;Popular;J-pop;0.0203;363.6408;365.32621315192745
RWC_P052;P;52;4;4;Haru ga kurukara;Tomomi Ogata;Female;Japanese;140.0;;Gt;Drum sequences;;;Popular;J-pop;0.0277;221.2629;223.4261224489796
RWC_P053;P;53;4;5;Ashita wa;Rin;Female;Japanese;132.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.1038;216.693;217.73637188208616
RWC_P054;P;54;4;6;Harukana omoi;Rin;Female;Japanese;125.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.066;219.8117;220.8841723356009
RWC_P055;P;55;4;7;First Love;Akiko Kaburagi;Female;Japanese;74.0;;Gt, Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0165;245.9592;247.14530612244897
RWC_P056;P;56;4;8;I've got a mail;Masashi Hashimoto;Male;Japanese;74.0;;Gt, Bs;Drum loops;;;Popular;J-pop;0.0159;317.0612;320.9289115646259
RWC_P057;P;57;4;9;Stay with me;Masashi Hashimoto;Male;Japanese;70.0;;;Drum sequences;;;Popular;J-pop;0.7653;261.649;265.1367573696145
RWC_P058;P;58;4;10;Silver shoes;Rin;Female;Japanese;118.0;;;Drum loops;;;Popular;J-pop;0.0161;221.7469;223.93301587301588
RWC_P059;P;59;4;11;Tenshi no utatane;Rin;Female;Japanese;98.0;;Gt, Tp;Drum loops;;;Popular;J-pop;0.0669;200.8729;202.9821768707483
RWC_P060;P;60;4;12;Kumorizora;Yuzu Iijima;Female;Japanese;148.0;;Gt, Gt, Bs;Drum loops;;;Popular;J-pop;0.0163;239.27;241.47850340136057
RWC_P061;P;61;4;13;FOR YOU;Kazuo Nishi;Male;Japanese;121.0;;Gt;Drum sequences;;;Popular;J-pop;0.016;275.8821;281.1331746031746
RWC_P062;P;62;4;14;Be with me Now;Rin;Female;Japanese;81.0;;Gt;Drum sequences;;;Popular;J-pop;0.0195;186.4816;189.07226757369617
RWC_P063;P;63;4;15;Power of mind;Reiko Sato;Female;Japanese;126.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0282;244.2971;248.97224489795917
RWC_P064;P;64;4;16;So Long;Kousuke Morimoto;Male;Japanese;100.0;;Gt, Bs;Drum sequences;;;Popular;J-pop;0.2415;290.6558;292.4395238095238
RWC_P065;P;65;5;1;Tanabata;Makiko Hattori;Female;Japanese;76.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0169;227.3698;230.02185941043084
RWC_P066;P;66;5;2;Mousugu natsu ga kuru;M & Y;Vocal group (2 female);Japanese;76.0;;Gt, HH, Pf;Drum sequences;;;Popular;J-pop;0.0285;314.9671;318.561768707483
RWC_P067;P;67;5;3;Tokei no hayasa wa;Makiko Hattori;Female;Japanese;88.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0162;245.4117;248.65560090702948
RWC_P068;P;68;5;4;Nichiyoubi;Makiko Hattori;Female;Japanese;92.0;;Gt, Bs, Dr;Live drums;;;Popular;J-pop;0.0171;290.8735;292.221746031746
RWC_P069;P;69;5;5;Gin no sora;Hiromi Yoshii;Female;Japanese;62.0;;Gt;Drum sequences;;;Popular;J-pop;0.0285;357.0449;358.33045351473925
RWC_P070;P;70;5;6;Miageta sora wa;Tamako Matsuzaka;Female;Japanese;104.0;;Gt, Bs, Dr, Pf;Live drums;;;Popular;J-pop;0.1357;243.5686;244.69002267573697
RWC_P071;P;71;5;7;Tsuki no youni;Hiromi Yoshii;Female;Japanese;70.0;;Gt, Pf;Without drums;;;Popular;J-pop;0.0209;282.8713;284.41278911564626
RWC_P072;P;72;5;8;Heart to Hurt;Kousuke Morimoto;Male;Japanese;76.0;;Pf, Vc;Without drums;;;Popular;J-pop;0.0172;198.3184;199.34326530612245
RWC_P073;P;73;5;9;Miss Maria;Kazuo Nishi;Male;Japanese;144.0;;Pf, Vc;Without drums;;;Popular;J-pop;0.0559;132.4125;134.44120181405896
RWC_P074;P;74;5;10;Kimi no iro;Kousuke Morimoto;Male;Japanese;94.0;;Gt;Without drums;;;Popular;J-pop;0.0222;189.9837;192.2696598639456
RWC_P075;P;75;5;11;Toui machi e;Hiromi Yoshii;Female;Japanese;108.0;;Pf;Without drums;;;Popular;J-pop;0.0186;198.6583;199.93913832199547
RWC_P076;P;76;5;12;Chikai;Kousuke Morimoto;Male;Japanese;70.0;;Gt;Without drums;;;Popular;J-pop;0.0629;227.6082;228.8602947845805
RWC_P077;P;77;5;13;Aishiteru;Makiko Hattori;Female;Japanese;120.0;;Gt, Pf;Without drums;;;Popular;J-pop;0.0319;232.8033;234.13360544217687
RWC_P078;P;78;5;14;Kumo;Masaki Kuehara;Male;Japanese;75.0;;Gt;Without drums;;;Popular;J-pop;0.0163;258.1362;259.2077777777778
RWC_P079;P;79;5;15;Together;Tomomi Ogata;Female;Japanese;92.0;;;Without drums;;;Popular;J-pop;0.023;263.4857;266.3466439909297
RWC_P080;P;80;5;16;Sagashimono;Tomomi Ogata;Female;Japanese;80.0;;;Without drums;;;Popular;J-pop;0.0221;216.4163;219.0652380952381
RWC_P081;P;81;6;1;How Deep Is Your Love?;Donna Burke;Female;English;90.0;;Gt;Drum sequences;;;Popular;Pop;0.0181;225.0043;228.781768707483
RWC_P082;P;82;6;2;Once in a life time;Shinya Iguchi;Male;English;88.0;;Gt, Dr;Live drums;;;Popular;Pop;0.0404;327.7351;335.0451927437642
RWC_P083;P;83;6;3;Doing That Thing;Jeff Manning;Male;English;140.0;;Gt;Drum sequences;;;Popular;Pop;0.0988;213.9312;215.3744671201814
RWC_P084;P;84;6;4;Someday;Shinya Iguchi;Male;English;138.0;;Gt, Dr;Live drums;;;Popular;Pop;0.0172;275.6531;278.39283446712017
RWC_P085;P;85;6;5;Waiting for the moment;Jeff Manning;Male;English;98.0;;Gt;Drum sequences;;;Popular;Pop;0.0227;206.1235;208.4657596371882
RWC_P086;P;86;6;6;Angel Baby;Betty;Female;English;80.0;;Gt;Drum sequences;;;Popular;Pop;0.0458;253.3714;255.81709750566893
RWC_P087;P;87;6;7;I think of you;Jeff Manning;Male;English;90.0;;Gt;Drum sequences;;;Popular;Pop;0.0185;287.4456;289.2319047619048
RWC_P088;P;88;6;8;Woman Like You;Shinya Iguchi;Male;English;120.0;;Gt, Dr;Live drums;;;Popular;Pop;0.0186;244.4816;247.52342403628117
RWC_P089;P;89;6;9;Life Is What You Make It To Be;Donna Burke;Female;English;134.0;;Gt;Drum sequences;;;Popular;Pop;0.0114;219.4373;221.3626303854875
RWC_P090;P;90;6;10;Don't Say Good bye;Shinya Iguchi;Male;English;127.0;;Gt, Dr;Live drums;;;Popular;Pop;0.0305;275.9265;277.7014058956916
RWC_P091;P;91;7;1;Change Of Heart;Donna Burke;Female;English;124.0;;Gt;Drum sequences;;;Popular;Pop;0.0161;220.0653;221.81428571428572
RWC_P092;P;92;7;2;I'll be there for you;Betty;Female;English;134.0;;;Drum sequences;;;Popular;Pop;0.022;217.2653;218.36761904761903
RWC_P093;P;93;7;3;Sweet Dreams;Donna Burke;Female;English;90.0;;Gt;Drum sequences;;;Popular;Pop;0.0233;255.551;256.8042857142857
RWC_P094;P;94;7;4;Life;Betty;Female;English;78.0;;Gt;Drum sequences;;;Popular;Pop;0.4735;220.5402;221.88911564625852
RWC_P095;P;95;7;5;Feel;Jeff Manning;Male;English;161.0;;Gt, Bs, Dr;Live drums;;;Popular;Pop;0.0893;227.9143;230.7943537414966
RWC_P096;P;96;7;6;Weekend;Betty;Female;English;130.0;;;Drum loops;;;Popular;Pop;0.0171;276.498;277.9712925170068
RWC_P097;P;97;7;7;Don't Lie To Me;Donna Burke;Female;English;91.0;;Gt;Drum sequences;;;Popular;Pop;0.0182;239.3832;241.09702947845804
RWC_P098;P;98;7;8;31 BLUES;Jeff Manning;Male;English;107.0;;Gt, Bs, Dr;Live drums;;;Popular;Pop;0.016;206.4878;209.8730612244898
RWC_P099;P;99;7;9;Once and For All;Shinya Iguchi;Male;English;73.0;;Gt;Without drums;;;Popular;Pop;0.2115;313.1153;315.2229931972789
RWC_P100;P;100;7;10;No Regrets;Shinya Iguchi;Male;English;80.0;;Gt;Drum loops;;;Popular;Pop;0.0197;291.6367;293.36519274376417
RWC_R001;R;1;1;1;Chou chou;Hiromi Asakawa;Female;Japanese;120.0;;Gt, Bs, HH;Drum sequences;;;Popular;J-pop;0.0769;123.8494;125.14909297052154
RWC_R002;R;2;1;2;Musunde hiraite;Hiromi Asakawa;Female;Japanese;104.0;;Gt;Drum sequences;;;Popular;J-pop;0.222;123.9771;128.03260770975058
RWC_R003;R;3;1;3;Akai kutsu;Hiromi Asakawa;Female;Japanese;75.0;;Gt, Bs, HH;Drum sequences;;;Popular;J-pop;0.2075;173.902;176.66589569161
RWC_R004;R;4;1;4;Nanatsu no ko;Hiromi Asakawa;Female;Japanese;70.0;;;Drum sequences;;;Popular;J-pop;0.0244;124.502;126.46678004535148
RWC_R005;R;5;1;5;Momotaro;Hiromi Asakawa;Female;Japanese;130.0;;Gt;Drum sequences;;;Popular;J-pop;0.3643;124.9477;128.3536507936508
RWC_R006;R;6;1;6;Jingle Bells;Donna Burke;Female;English;115.0;;Gt, Bs, HH;Drum sequences;;;Popular;American Christmas Song / Christmas music;0.0639;115.1594;118.3458276643991
RWC_R007;R;7;1;7;Mary Had A Little Lamb;Donna Burke;Female;English;100.0;;Gt, Bs, HH;Drum sequences;;;Popular;American Nursery Song / Nursery rhymes;0.1286;119.2286;122.73641723356008
RWC_R008;R;8;1;8;I've Been Workin' On The Railroad;Jeff Manning;Male;English;130.0;;Gt, HH;Drum sequences;;;Popular;American Folk Song;0.148;119.9869;124.07943310657596
RWC_R009;R;9;1;9;Home on the Range;Jeff Manning;Male;English;100.0;;Gt;Drum sequences;;;Popular;American Folk Song;0.0189;150.9558;152.67176870748298
RWC_R010;R;10;1;10;Yankee Doodle;Jeff Manning;Male;English;116.0;;Gt, HH;Drum sequences;;;Popular;American Nursery Song;0.0663;141.2063;143.93832199546486
RWC_R011;R;11;1;11;John Brown Had A Little Indian;Donna Burke;Female;English;120.0;;Gt;Drum sequences;;;Popular;American Nursery Song;0.0181;125.5342;128.52430839002267
RWC_R012;R;12;1;12;When the Saints Go Marching in;Jeff Manning;Male;English;200.0;;Gt;Drum sequences;;;Popular;American traditional black spiritual;0.016;120.2202;122.90081632653062
RWC_R013;R;13;1;13;Silent Night;Donna Burke;Female;English;70.0;;;Drum sequences;;;Popular;Christmas Carol;0.0145;114.8749;116.52514739229024
RWC_R014;R;14;1;14;Turkey In The Straw;Donna Burke;Female;English;180.0;;Gt;Drum sequences;;;Popular;American Folk Song;0.0163;119.6113;122.71877551020408
RWC_R015;R;15;1;15;My Bonny;Jeff Manning;Male;English;80.0;;;Drum sequences;;;Popular;Scottisch Folk Song;0.019;103.7177;106.2141723356009
RWC_C001;C;1;1;1;"Symphony No.94 in G major, Hob.I:94, ""The Surprise"", 1st mvmt.";Tokyo City Philharmonic Orchestra;;;;;Orch;;Haydn, Franz Joseph;Symphony;Classical;Classical;0.4158;497.5804;502.1465759637188
RWC_C002;C;2;1;2;Symphony No.40 in G minor, KV 550, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;;;Orch;;Mozart, Wolfgang Amadeus;Symphony;Classical;Classical;0.3679;454.0735;457.73895691609977
RWC_C003;C;3;1;3;Symphony No.5 in C minor, Op.67, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;;;Orch;;Beethoven, Ludwig van;Symphony;Classical;Classical;0.022;427.6245;433.7109977324263
RWC_C004;C;4;1;4;"Symphony No.6 in B minor, Op.74, ""Pathétique"", 4th mvmt.";Tokyo City Philharmonic Orchestra;;;;;Orch;;Tchaikovsky, Pyotr Ilich;Symphony;Classical;Romantic;1.0391;583.2998;590.7390022675737
RWC_C005;C;5;1;5;Violin Concerto No.5 in A major, KV 219, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;;;Vn, Orch;;Mozart, Wolfgang Amadeus;Concerto;Classical;Classical;0.2017;600.2097;604.4076870748299
RWC_C006;C;6;1;6;Piano Concerto No.1 in E minor, Op.11, 2nd mvmt.;Tokyo City Philharmonic Orchestra;;;;;Pf, Orch;;Chopin, Frédéric François;Concerto;Classical;Romantic;0.3505;593.502;600.2344671201814
RWC_C007;C;7;2;1;Brandenburg Concerto No.5 in D major, BWV 1050, 1st mvmt.;Tokyo City Philharmonic Orchestra;;;;;Orch;;Bach, Johann Sebastian;Concerto;Classical;Baroque;0.0233;596.049;599.5309750566894
RWC_C008;C;8;2;2;"""Le Nozze di Figaro"" (The Marriage of Figaro), KV 492, Overture";Tokyo City Philharmonic Orchestra;;;;;Orch;;Mozart, Wolfgang Amadeus;Theatre Music;Classical;Classical;0.3652;248.6161;252.9680045351474
RWC_C009;C;9;2;3;"""Tristan und Isolde"", Prelude and Liebestod";Tokyo City Philharmonic Orchestra;;;;;Orch;;Wagner, Richard;Theatre Music;Classical;Romantic;1.2599;1076.271;1079.5187301587302
RWC_C010;C;10;2;4;"""An der Schönen Blauen Donau"" (Blue Danube Waltz), Op.314";Tokyo City Philharmonic Orchestra;;;;;Orch;;Strauss II, Johann;Waltz;Classical;Romantic;0.3773;455.1771;460.1149886621315
RWC_C011;C;11;2;5;Passacaglia and Fugue in C minor, BWV 582;Tetsuya Kan;;;;;Org;;Bach, Johann Sebastian;Passacaglias, Fugues for Organ;Classical;Baroque;0.0082;748.8327;756.8670068027211
RWC_C012;C;12;3;1;"""The Musical Offering"", BWV 1079, Ricercare à 6";Wood Land Notes;;;;;;;Bach, Johann Sebastian;Canon;Classical;Baroque;0.0288;381.7894;385.4374603174603
RWC_C013;C;13;3;2;String Quartet No.19 in C major, KV 465, 1st mvmt.;Wood Land Notes;;;;;Vn,Vn, Va, Vc;;Mozart, Wolfgang Amadeus;String Quartet;Classical;Classical;0.0214;503.2693;508.0045351473923
RWC_C014;C;14;3;3;String Quartet No.14 in C# minor, Op.131, 5th mvmt.;Wood Land Notes;;;;;Vn,Vn, Va, Vc;;Beethoven, Ludwig van;String Quartet;Classical;Classical;0.0362;391.4014;395.70875283446713
RWC_C015;C;15;3;4;String Quartet No.2 in D major, 3rd mvmt.;Wood Land Notes;;;;;Vn,Vn, Va, Vc;;Borodin, Alexander;String Quartet;Classical;Romantic;0.3614;459.4387;461.55578231292515
RWC_C016;C;16;3;5;Clarinet Quintet in A major, KV 581, 1st mvmt.;Wood Land Notes;;;;;Cl, Vn,Vn, Va, Vc;;Mozart, Wolfgang Amadeus;Clarinet Quintet;Classical;Classical;0.6872;539.0141;543.8874376417234
RWC_C017;C;17;3;6;Clarinet Quintet in B minor, Op.115, 3rd mvmt.;Wood Land Notes;;;;;Cl, Vn,Vn, Va, Vc;;Brahms, Johannes;Clarinet Quintet;Classical;Romantic;0.0068;290.0985;295.0542403628118
RWC_C018;C;18;3;7;Horn Trio in Eb major, Op.40, 2nd mvmt.;Wood Land Notes;;;;;Hn, Vn, Pf;;Brahms, Johannes;Horn Trio;Classical;Romantic;0.0095;458.4562;462.20113378684806
RWC_C019;C;19;4;1;"Piano Trio No.7 in Bb major, Op.97, ""Archduke"", 1st mvmt.";Wood Land Notes;;;;;Pf, Vn, Vc;;Beethoven, Ludwig van;Piano Trio;Classical;Classical;0.0122;567.532;571.8348299319728
RWC_C020;C;20;4;2;Piano Trio No.1 in B major, Op.8, 1st mvmt.;Wood Land Notes;;;;;Pf, Vn, Vc;;Brahms, Johannes;Piano Trio;Classical;Romantic;0.1079;626.3467;630.1323809523809
RWC_C021;C;21;4;3;"Piano Quintet in A major, Op.32/D.667, ""Trout"", 4th mvmt.";Wood Land Notes;;;;;Vn,Va, Vc, Db, Pf;;Schubert, Franz Peter;Piano Quintet;Classical;Romantic;0.4082;484.3175;488.95274376417234
RWC_C022;C;22;4;4;Hungarian Dance No.5 in F# minor;Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Brahms, Johannes;Piano 4 Hands;Classical;Romantic;0.0095;137.9918;143.24501133786848
RWC_C023A;C;23A;4;5;"Suite ""Ma Mère l'Oye"" (Mother Goose), 1. Pavane de la Belle au Bois Dormant";Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Classical;Romantic;0.0103;75.5135;78.19174603174604
RWC_C023B;C;23B;4;6;"Suite ""Ma Mère l'Oye"" (Mother Goose), 2. Petit Poucet";Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Classical;Romantic;0.0073;160.5892;163.30891156462584
RWC_C023C;C;23C;4;7;"Suite ""Ma Mère l'Oye"" (Mother Goose), 3. Laideronnette, Impératrice des Pagodes";Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Classical;Romantic;0.0125;196.4931;202.99242630385487
RWC_C023D;C;23D;4;8;"Suite ""Ma Mère l'Oye"" (Mother Goose), 4. Les Entretiens de la Belle et de la Bête";Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Classical;Romantic;0.0107;241.8939;247.06739229024944
RWC_C023E;C;23E;4;9;"Suite ""Ma Mère l'Oye"" (Mother Goose), 5. Le Jardin Féerique";Yuriko Furuichi & Yoshiko Kikuchi;;;;;Pf;;Ravel, Maurice;Suite for Piano 4 Hands;Classical;Romantic;0.0092;162.3075;167.961768707483
RWC_C024A;C;24A;4;10;The Anna Magdalena Bach Notebooks, 1. Menuet in G major;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Minuet for Keyboard;Classical;Baroque;0.0125;80.6197;83.97179138321995
RWC_C024B;C;24B;4;11;The Anna Magdalena Bach Notebooks, 2. Menuet in G minor;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Minuet for Keyboard;Classical;Baroque;0.0056;82.2683;87.11126984126984
RWC_C024C;C;24C;4;12;The Anna Magdalena Bach Notebooks, 8. Musette in D major;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Musette for Keyboard;Classical;Baroque;0.0237;44.0555;50.271473922902494
RWC_C025A;C;25A;4;13;The Well-Tempered Clavier, Book 1, No.1 in C major, BWV 846, Prelude;Atsuko Watanabe;;;;;Hp;;Bach, Johann Sebastian;Prelude for Keyboard;Classical;Baroque;0.029;116.5584;121.75308390022676
