RWCID;MIDITrackNo;MIDITrackName;SemitoneOffset;comment
RWC_P081;4;MELODY;0;
RWC_P082;4;Melo;12;
RWC_P083;4;MELODY;12;
RWC_P084;4;Melo;12;
RWC_P085;4;MELODY;12;
RWC_P086;5;Melody;12;
RWC_P087;4;MELODY;12;
RWC_P088;4;Melody;12;
RWC_P089;4;MELODY;0;
RWC_P090;4;Melody;12;
RWC_P091;4;MELODY;12;
RWC_P092;4;MELO;12;
RWC_P093;4;Melody;12;
RWC_P094;4;Melody;12;
RWC_P095;4;Melody;12;
RWC_P096;4;MELODY;12;
RWC_P097;5;MELODY;12;
RWC_P098;4;Melody;12;
RWC_P099;4;Melody;12;global offset correct, however at three instances does an upper harmony instead of the correct main melody.
RWC_P100;4;Melody;12;
RWC_C045;1;MELODY;0;
RWC_C046;2;MELODY;0;
RWC_C047;2;MELODY;0;
RWC_C048;2;MELO;12;
RWC_C049;2;MELODY;12;
RWC_C050;2;MELO;0;
RWC_J036;4;MELODY;12;
RWC_J037;3;MELODY;12;
RWC_G001;4;MELODY;12;
RWC_G002;4;MELODY;0;
RWC_G003;4;Melody;12;
RWC_G004;4;MELODY;0;
RWC_G005;4;MELODY;0;
RWC_G006;4;Vo Main;12;
RWC_G006;7;Vo Low;12;Back Vocal
RWC_G006;8;Vo Hi;12;Back Vocal
RWC_G007;4;MELODY;12;
RWC_G008;4;MELODY;12;
RWC_G009;4;Melody;12;
RWC_G010;4;MELODY;12;
RWC_G011;4;MELODY;12;
RWC_G012;3;MELO;12;
RWC_G012;11;MELO LOW;12;Back vocals
RWC_G013;4;MELODY;0;
RWC_G013;9;VOICE;0;Nothing?
RWC_G014;4;MELODY;0;rapping vocal
RWC_G015;4;MELODY;12;
RWC_G016;4;MELODY;12;
RWC_G017;4;MELODY;12;
RWC_G018;4;MELODY;12;
RWC_G019;4;MELODY;0;Not Vocal
RWC_G019;7;VOCAL;0;
RWC_G019;11;VOICE;0;Not Vocal
RWC_G019;16;MELO 2;0;Not Vocal
RWC_G020;4;MELODY;12;
RWC_G022;4;Melo;0;
RWC_G023;3;MELODY;12;
RWC_G024;4;Melody;12;
RWC_G025;4;Melody;12;
RWC_G026;4;Melody;12;
RWC_G027;5;MELODY;12;
RWC_G039;3;Melo;12;
RWC_G041;4;Melody;12;
RWC_G045;5;Melody;12;
RWC_G066;3;Vo;12;
RWC_G067;4;MELODY;12;
RWC_G069;4;MELODY;24;
RWC_G071;4;MELODY;12;
RWC_G073;4;Melody;12;
RWC_G074;3;Vo;12;
RWC_G076;3;MELODY;0;
RWC_G077;3;MELODY;0;
RWC_G078;3;MELODY;0;
RWC_G083;2;MELO;0;
RWC_G085;2;MELODY;12;
RWC_G086;2;MELODY;12;
RWC_G087;2;MELODY;12;
RWC_G088;2;MELODY;12;
RWC_G089;2;MELODY;12;
RWC_G090;2;MELO;12;
RWC_G091;4;melo;12;
RWC_G092;4;MELODY;12;
RWC_G093;4;MELO;12;
RWC_G094;2;UTA;12;
RWC_G095;2;UTA;12;
RWC_G096;3;MELO;12;
RWC_G100;10;MELODY;12;
RWC_R001;4;Melo;0;
RWC_R002;4;Melo;0;
RWC_R003;4;Melo;0;
RWC_R004;2;Melo;0;
RWC_R005;4;Melo;12;
RWC_R006;4;Melo;12;
RWC_R007;4;Melo;0;
RWC_R008;4;Melo;12;
RWC_R009;4;Melo;12;
RWC_R010;4;Melo;12;
RWC_R011;4;Melo;0;
RWC_R012;4;Melo;24;
RWC_R013;4;Melo;12;
RWC_R014;4;Melo;0;
RWC_R015;3;Melo;24;
